average,label,anomaly
17.865283097805843,normal,non_anomaly
19.871114995418804,normal,non_anomaly
21.36220004342943,normal,non_anomaly
18.67754399011255,normal,non_anomaly
21.285729583135005,normal,non_anomaly
18.33472452832287,normal,non_anomaly
22.11789759347457,normal,non_anomaly
19.57635857673843,normal,non_anomaly
18.419702068678713,normal,non_anomaly
20.516463591024277,normal,non_anomaly
17.345949971227896,normal,non_anomaly
18.97380676361567,normal,non_anomaly
16.212503299278687,normal,non_anomaly
18.788942211328674,normal,non_anomaly
15.269708200364208,normal,non_anomaly
16.152465868462542,normal,non_anomaly
18.62926424378681,normal,non_anomaly
17.593273428457742,normal,non_anomaly
19.421346367108928,normal,non_anomaly
15.164622218714557,normal,non_anomaly
14.419489619400492,normal,non_anomaly
19.681831592302313,normal,non_anomaly
15.839275650563776,normal,non_anomaly
15.9749472855937,normal,non_anomaly
15.49594285308815,normal,non_anomaly
18.721314216473182,normal,non_anomaly
16.663592698430413,normal,non_anomaly
17.924994307096263,normal,non_anomaly
20.438726380145226,normal,non_anomaly
14.973683558553702,normal,non_anomaly
14.506259595251766,normal,non_anomaly
15.596271849881415,normal,non_anomaly
20.275080357617377,normal,non_anomaly
18.562189191728944,normal,non_anomaly
19.73377334848912,normal,non_anomaly
16.474537917040713,normal,non_anomaly
15.095266111813643,normal,non_anomaly
16.457730703591732,normal,non_anomaly
16.073510210121963,normal,non_anomaly
14.870447618884992,normal,non_anomaly
15.132147750428487,normal,non_anomaly
20.223238224277118,normal,non_anomaly
14.74222775647536,normal,non_anomaly
17.91552306834733,normal,non_anomaly
17.735360253278067,normal,non_anomaly
16.698483353138574,normal,non_anomaly
15.430207672887834,normal,non_anomaly
19.29561766004531,normal,non_anomaly
16.939082502859055,normal,non_anomaly
15.092333073565705,normal,non_anomaly
15.991125436626097,normal,non_anomaly
18.608001421183747,normal,non_anomaly
15.695307953689449,normal,non_anomaly
16.787022275748587,normal,non_anomaly
14.73375003845848,normal,non_anomaly
15.35084244280155,normal,non_anomaly
20.365545116506905,normal,non_anomaly
17.34923082170418,normal,non_anomaly
15.054333814507265,normal,non_anomaly
16.26929956232951,normal,non_anomaly
19.507679939042394,normal,non_anomaly
14.768503846040444,normal,non_anomaly
18.480766527906837,normal,non_anomaly
19.56450100181076,normal,non_anomaly
18.84987739324107,normal,non_anomaly
16.90131949628212,normal,non_anomaly
16.238459971463634,normal,non_anomaly
15.670408132147035,normal,non_anomaly
16.308330491936186,normal,non_anomaly
17.98643309221367,normal,non_anomaly
17.435670999998006,normal,non_anomaly
16.24823264541594,normal,non_anomaly
14.876290360493048,normal,non_anomaly
16.261823476649113,normal,non_anomaly
15.23985724795791,normal,non_anomaly
17.35365075527126,normal,non_anomaly
19.101184162075533,normal,non_anomaly
16.883004821363016,normal,non_anomaly
14.690041580213059,normal,non_anomaly
18.798802084057574,normal,non_anomaly
16.062526493634376,normal,non_anomaly
19.961933680501428,normal,non_anomaly
18.140221645223708,normal,non_anomaly
18.09560206073987,normal,non_anomaly
19.202589968248002,normal,non_anomaly
15.162024410641154,normal,non_anomaly
19.32274859021237,normal,non_anomaly
